ARC_ID,County,Need,Index, Cost ,Link
IJ-124,IJ,-5,7," $1,375,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-125,IJ,2,6," $343,750.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-126,IJ,1,-15," $1,031,251.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-127,IJ,1,5," $1,000,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-128,IJ,-2,-3," $500,001.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-129,IJ,4,-10," $750,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-130,IJ,14,9," $1,375,003.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-131,IJ,-13,-5," $343,751.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-132,IJ,-5,1," $1,031,252.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-133,IJ,-10,-10," $1,000,003.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-134,IJ,1,0," $500,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-135,IJ,0,14," $750,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-136,IJ,-10,1," $1,375,004.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-137,IJ,2,2," $343,751.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-138,IJ,4,3," $1,031,253.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-139,IJ,4,4," $1,000,004.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-140,IJ,7,5," $500,002.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-141,IJ,1,6," $750,003.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-142,IJ,-10,-7," $1,375,006.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-143,IJ,12,-6," $343,751.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-144,IJ,9,-5," $1,031,254.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-145,IJ,14,-4," $1,000,005.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-146,IJ,3,2," $500,003.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-147,IJ,4,-3," $750,004.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-148,IJ,14,5," $1,375,007.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-149,IJ,2,12," $343,752.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-150,IJ,0,-7," $1,031,255.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-151,IJ,0,7," $1,000,006.00 ",http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
